# remove +5V pull-ups from SPI1, because we use it with +3.3v accelerometer
R103,
R105,

# remove jumper resistor connecting BOOT1 with A22 input line, because we use STM32F4
R131,

#CAN wakeup disabled, O2S input enabled
R145,

#PWR_EN not used as GPIO
R142,

# DC-DC Inductor
L421,"MWSA0503S-100MT","MWSA0503","C408412"
L420,"NLCV32T-2R2M-EF","L1210","C250227"

# fuses
F410,"nSMD050-24V","SMD1206","C70076"
"F1,F2,F3,F4","5A","F1206","C553924"

# TLS115
U411,"TLS115B0EJXUMA1","PG-DSO-8","C3747428"

#MAX9142
U754,"TLV3202AIDR","SO8","C129325"

# cost reduction
U106,

# DNP BLUETOOTH JDY
U5,

# WBO
"C603","33n","C0402","C106862"
Q601,

#Knock capacitor
"C471","3.3n","C0402","C107028"

# max9924
U771,"MAX9924UAUB+T","MSOP10","C5145181"

# STM32F427VGT6 come MRE !!
U105,"STM32F427VGT6","LQFP100","C117815"

#without CAN2
"C430,C431,D430,R430,U430",

#20MHz crystal
Y102,"TXM20M0002503LFBEO00T","SMD5032-2P","C362485"

#SD Card
J100,"TF-014-H16","SMD","C125814"

#board ID capacitor shortage
C133,"1u","C0603","C519559"

#mux
"U755,U756","WAS3157B-6","SOT-363","C213161"

# Connettori
J1,
J2,
J6,

# Accensione
Q7,
Q8,
Q9,
Q10,
R27,
R28,

# Module-vr-max9924-0.1
R1,

# Module-vr-discrete-0.5
R5,

# BUTTON1 BUTTON2 BUTTON3
R38,
R39,
R40,

# DC Driver
U1,
U2,

# Q1 options
# ZXMS6005SGTA C174042
# ZXMS6005DGTA C174045
# NCV8440ASTT3G C604063
# would VNL5160 work? would VNL5160 be the cheapest option?

# cost
"D6, D7, D411","PSM712-LF","SOT-23","C5180294"

#LEDs
"D751,D771,D601,D104,D108","GREEN_LED","LED0603","C965804"
"D602,D105,D109,D110,D111,D112,D113,D114,D115,D116","BLUE_LED","LED0603","C497940"
"LED1, LED2, LED3, LED4","BLUE_LED","LED0402","C2844007"

# same board ID as rev A for now!
#include hellen-one/board_id/generated/board_id_uaefi-a.csv

#include bom_pullups_MST01-a2.csv
